objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 414782742,7.90036015643982,16.0209176316079,0.81720906,1.2105550629472124,1.2105550629472124,ROT,2.70364480289071,1.1655798065975789,[42]
TIC 420799961,67.0552988330634,83.8077896728821,0.8171234,0.2332893716136138,0.2332893716136138,ROT,1.915366716687122,2.396332644100465,"[19, 26, 40]"
TIC 356440639,289.817206125925,23.3041088131789,0.81697404,0.9630588418442658,0.9630588418442658,ROT,3.664535263325244,1.8748702761602936,[40]
TIC 444979120,111.064472761017,55.4603173789406,0.8168755,12.346639227937429,6.173319613968714,ROT,1.5723794672597189,2.635927554294395,[20]
TIC 254303200,5.93611037448761,-19.8350417241792,0.81685674,1.1431859601580765,1.1431859601580765,CEP,3.603372122291552,3.921517028989381,[29]
TIC 367089511,339.563447816722,75.122348286836,0.81669044,1.6657204745416017,1.6657204745416017,ROT,2.625342709642,0.9994245272978624,[17]
TIC 100734457,341.632843131707,35.193200273599,0.81667924,4.227876072283743,4.227876072283743,ROT,5.896954483440607,6.586634662360726,[16]
TIC 310251314,152.425018325967,-52.8758911805332,0.8165548,0.4042772611783365,0.4042772611783365,ROT,2.735939035307277,1.7971569850883744,[36]
TIC 71384002,46.1756486099622,-20.3070670622563,0.81650615,12.37846381164549,12.37846381164549,ROT,1.5217127759545257,2.1957308207092683,"[4, 31]"
TIC 147148195,322.537584519436,-47.7591783118182,0.8164772,12.05003293622891,6.025016468114455,ROT,1.1679546875054825,2.0982613744827177,[27]
TIC 25835988,145.688064,-31.714588,0.81639445,2.052212117644162,1.026106058822081,EA,1.3902271295956845,2.132000998266776,"[8, 9]"
TIC 142381364,196.266524391348,62.7732799184502,0.8162204,0.247500425008065,0.1237502125040325,ROT,3.766170798295427,6.434805851498796,"[14, 15, 21, 22, 41, 48, 49]"
TIC 70775324,1.21206340618828,-30.4987484597513,0.8162134,0.2569105251008537,0.2569105251008537,RRC,4.104952794237716,3.676450289082098,[2]
TIC 230903653,249.45786,-45.878819,0.81616807,7.589932052618749,3.794966026309375,ROT,1.017822580025486,2.292194853991971,[12]
TIC 161177014,308.836587939103,34.0127419894252,0.81615037,6.53956341468824,6.53956341468824,ROT,1.804042221646092,2.1268610628238367,[41]
TIC 284417307,108.968603,-46.597679,0.8160064,0.6675096076386104,0.6675096076386104,ROT,2.1845254832371084,2.022163032693417,[6]
TIC 4197458,114.975383946408,32.0097411275926,0.81595856,0.1172347201757697,0.1172347201757697,DSCT,2.262102075764445,2.680220680841398,"[20, 44, 45, 46, 47]"
TIC 272669886,233.747971964047,68.550590990755,0.8158947,0.5691088908068401,0.5691088908068401,ROT,3.6576089240031617,3.616866257248105,"[21, 22]"
TIC 39222289,88.6445666892348,-4.06471206419575,0.8157101,1.0651339587499438,1.0651339587499438,ROT,2.851832187993685,0.928581643621328,[33]
TIC 50721722,82.7317482966125,-0.927791933547912,0.8156612,1.4827919557828375,1.4827919557828375,ROT,2.5961560112628885,2.727563982435841,[32]
TIC 384992041,50.4151249190238,47.4552216355836,0.81556857,0.2660041823123821,0.2660041823123821,RRC,16.2681762960964,3.605478531129552,[18]
TIC 219763163,262.522547792342,61.1254772099764,0.8155152,0.5816688559954079,0.2908344279977039,EW,1.4754724995110509,6.841952098014703,[24]
TIC 257002616,223.66733674275,76.8879002140407,0.8154259,4.241395294083718,2.120697647041859,EA,1.2514543579991626,3.3951661550992767,"[41, 48]"
TIC 124404442,198.321312193817,-32.9867909054013,0.81537586,0.174645936108001,0.0873229680540005,EW,1.3743760796216455,2.904465126395688,[37]
TIC 257602587,53.321795926445,-19.5360657772773,0.8152729,12.378589241730456,12.378589241730456,ROT,1.5150626868073038,2.249563626805487,[31]
TIC 142375417,181.486092999216,-35.6939199173591,0.81519264,5.165239694066868,2.582619847033434,ROT,1.8687476671129968,12.295635076253392,[37]
TIC 265085996,93.9748998816855,1.16909486223691,0.81517136,1.092156101224964,1.092156101224964,ROT,4.567390652541248,4.1239745506530765,"[6, 33]"
TIC 155535052,103.870866408717,12.8169485004776,0.8150957,12.553039510511628,12.553039510511628,ROT,1.7028482715211086,2.1543486883614884,[33]
TIC 145789103,132.899088,-48.753088,0.81502855,1.194867398373222,0.5974336991866109,ROT,1.4131310395338346,2.4232176593410704,[8]
TIC 396573191,39.6260963995707,44.1316473811999,0.814606,1.2423469831381573,1.2423469831381573,ROT,2.268763239070245,2.8212179227359284,[18]
TIC 150228924,155.230990153536,45.9627378405215,0.81458145,0.4301723825641114,0.4301723825641114,ROT,2.1560995197253576,1.750087557557551,[48]
TIC 157533670,106.779503,-40.893243,0.81441855,0.6029715190884128,0.3014857595442064,ROT,1.2911940835564937,3.167305682963629,[6]
TIC 331782797,18.4241198865112,59.0992718863987,0.8143455,0.2504779155005371,0.1252389577502685,ROT,1.6357324762682646,3.2754413410647887,[18]
TIC 372096094,150.015386770953,-66.2762430976693,0.8141975,2.068845137657884,2.068845137657884,CEP,35.08209452175713,22.766429652320635,"[10, 36, 37, 38]"
TIC 33737236,93.0528256729567,-12.2628213150222,0.8141946,1.480013949233656,1.480013949233656,EA,5.882762587060172,6.340442439814054,[33]
TIC 89327422,126.638231,-57.301728,0.81418276,2.3629701374572325,1.1814850687286165,ROT,1.5236230904186057,29.52238877504778,"[8, 9, 10]"
